review_id,source_id,acronym,titre,resume_complet,mon_label,note
11,738028,BEATTI,BEaring Advanced Technologies for Turboprop engine Innovation,"Turboprop engine is the key to contribute to the EU competitiveness growth as well as to tackle the important commitment of sustainable and green transport (SAGE programme). This innovation will be clearly addressed also by the bearings that are directly involved in power efficiency and reliability, highly crucial for the engine development itself. BEATTI project proposes advanced bearings (in term of material and design) with improved dynamic and thermal behaviours and resistance to harsh environment, such as corrosion, particle pollution and poor lubrication condition.To propose the best solution, it is crucial to, firstly, build up failure modes database based on field return functional analysis and testing outputs, and secondly to monitor the bearing usage condition and failure mode with advanced monitoring solution both on engine demonstrator and bearing testing rigs. By knowing real conditions it is possible to propose real solutions. In addition BEATTI will focus on the time to market for the introduction of new material: the ratio “time/resources” of new material introduction will be optimised by focusing on the best TRL level testing.The BEATTI project is thus “the development of advanced bearing solutions, enablers for the next generation of Turboprop engines that will overcome current bearing performances. An innovative approach will be applied coupling a better knowledge of usage conditions & failure modes (using advanced monitoring tools) with specific experimental demonstrations of material and design choices.”",,
12,101140499,HEROPS,Hydrogen-Electric Zero Emission Propulsion System,"HEROPS aims to introduce climate-neutral propulsion into regional aircraft by developing MTU’s Flying Fuel Cell (FFC) propulsion system concept for entry into service in 2035. This disruptive hydrogen-electric propulsion system uses fuel cells as sole power source and a liquid hydrogen fuel system, without the need for high-power batteries. Integration of both the fuel cell system and the electric propulsion unit into a compact engine nacelle will ensure an efficient system at high power-to-weight ratio.  HEROPS targets to demonstrate a 1,2 MW propulsion system based on a scalable 600 kW core module at TRL4. The core module and all further sub-systems will be validated up to TRL5. Complemented by simulation and electrical network testing of the overall modularised system, scalability to the 2 – 4 MW power level will be confirmed. The certification programme will build upon on-going certification activities, enabling timely maturation of the aviation-native HEROPS technology against relevant certification requirements. The two-phase approach of the overall programme - including extensive development, test and validation cycles at each stage - is expected to advance the FFC concept to TRL6 for integration and demonstration on a regional aircraft by 2028. It will pave the way for commercial prototyping and entry-into-service by 2035, delivering a key propulsion technology to reach the European Green Deal’s objective of climate-neutral aviation by 2050 with 100% prevention of CO2 and NOx emissions and up to 80% reduction of the climate impact from contrails and contrail cirrus. The HEROPS project will meet this challenge with a European consortium of aircraft propulsion system integrators, electrical system experts, key tier 1 suppliers and leading researchers in stack technology, mechanics and propulsion, leveraging relevant and effective synergies between European and national programmes.",,
13,890378,USEPE,U-space Separation in Europe,"The U-space concept was the response of the Warsaw Declaration in 2017 to use drones as a leverage for jobs and new business opportunities. The U-space Blueprint published by the SESAR Joint Undertaking in 2017, states that “U-space is a set of new services and specific procedures designed to support safe, efficient and secure access to airspace for large numbers of drones”.The number of drones' applications is increasing and, with them, the number of drones that will be flying simultaneously in a same geographical area that will need to be safely separated between them and from manned aircraft to allow the maximum number of flights in a given airspace. The separation problem becomes even worst when flights take place in an urban environment where buildings and extreme turbulent wind shear appears close to them.USEPE is aware of these problems and will research on drones’ separation methods in high demanding environments such as cities. This research will be accompanied by a concept of operations that will be implemented and simulated for its validation. USEPE will also research on the use of machine learning algorithms to automate the safe separation and deconfliction of drones while maintaining airspace capacity in different environments and provide the U-space separation management system with artificial intelligence to comply with the statement made in the European ATM Masterplan Roadmap for the safe integration of drones into all classes of airspace. “[…]to take advantage of the latest developments related to technological areas, such as artificial intelligence […]”.In order to obtain valuable results, a casuistic of real urban scenarios will be defined and their feasibility will be assessed to select and implement the more suitable ones and perform a full validation by using the European Operational Concept Validation Methodology (E-OCVM).The research approach will take into account both the strategic and tactical flight phases.",,
14,604013,AFLONEXT,"""2nd Generation Active Wing“ –  Active Flow- Loads & Noise control on next generation wing""""",AFLoNext is a four year EC L2 project with the objective of proving and maturing highly promising flow control technologies for novel aircraft configurations to achieve a quantum leap in improving aircraft’s performance and thus reducing the environmental footprint. The project consortium is composed by forty European partners from fifteen countries. The work has been broken down into seven work packages. The AFLoNext concept is based on six Technology Streams:(1) Hybrid Laminar Flow technology applied on fin and wing for friction drag reduction.(2) Flow control technologies applied on outer wing for performance increase.(3) Technologies for local flow separation control applied in wing/pylon junction to improve the performance and loads situation mainly during take-off and landing.(4) Technologies to control the flow conditions on wing trailing edges thereby improving the performance and loads situation in the whole operational domain.(5) Technologies to mitigate airframe noise during landing generated on flap and undercarriage and through mutual interaction.(6) Technologies to mitigate/control vibrations in the undercarriage area during take-off and landing.AFLoNext aims to prove the engineering feasibility of the HLFC technology for drag reduction on fin in flight test and on wing by means of large scale testing as well as for vibrations mitigation technologies for reduced aircraft weight and for noise mitigation technologies.The peculiarity of the AFLoNext proposal in terms of holistic technical approach and efficient use of resources becomes obvious through the joint use of a flight test aircraft as common test platform for the above mentioned technologies.To improve aircraft performance locally applied active flow control technologies on wing and wing/pylon junction are qualified in wind tunnels or by means of lab-type demonstrators.,,
15,821375,PHP2,Pulsating Heat Pipes for Hybrid Propulsion systems,"As part of H2020 program, Clean Sky 2, the present topic is associated within WP1.6 “Demonstration of Radical Aircraft Configurations” and more specifically subWP1.6.2 “Hybrid Power Bench Development and Testing”. It aims at using Pulsating Heat Pipes (PHP) to exchange large amounts of energy for the cooling of different elements.The solution proposed here is to develop a very detailed 1D simulation code for the development of new PHP designs (task number 1), fabricate them with innovative manufacturing techniques and extensively test them experimentally (task number 2) as a “proof-of-concept” of this new disruptive cooling technology. Experimental data is used to validate the 1D code and develop a reduced model (task number 3) that can be run in a short time (< 1s) to choose/select the most appropriate one for the application at hand. This approach will make PHP commercially viable by cutting the time for their choice, sale and cost whilst eliminating all (or most) of the final testing by the end client.Technical challenges are numerous due to an incomplete understanding of PHP in the literature: the lack of good design theories and of viable, comprehensive simulation tools to describe the thermal/hydraulic performance of a PHP. Furthermore, PHP are a new disruptive cooling technology that need to gain their acceptance into engineering practice…hence the partners need to carefully and thoroughly develop a very convincing case for their acceptance.The present proposal, called P(HP)2 project, offers cooperation between JJ Cooling Innovation and Provides, leaders in modelling, design and fabrication of high-performance micro-two-phase cooling systems, and Altran, world-leader in Engineering Solutions and outsourced R&D, through their Expertise Centres “Fluids and Thermal Engineering” and “Scientific Computing Methods and Tools”.",,
16,945549,GAM-2020-ECO,Eco-Design Transverse Activity,"Integrating ecologic, economic and socio-economic effects, ecoDESIGN will strongly contribute to sustainability and future competitiveness of the European aviation industry according the European Eco innovation agenda. It covers the assessment of materials, processes and resources (MPR) employed along the entire aircraft life cycle. Based on the fundamental structure of eight Eco themes , ecoDESIGN enables an extended Life Cycle Analysis (LCA+), going far beyond aircraft operation.As a Transversal Activity in Clean Sky 2 ecoDESIGN concentrates on the development and integration of fundamental methodologies, tools and databases into a comprehensive platform and on the assessment and evaluation of innovative technology developments within the SPDs. Extending the coverage of the technology base for ecoDESIGN, validated LCI Data will be employed to derive Eco-Statements and to enable future standardized, consistent and comparable analysis with regard to Design for Environment (DfE) Approaches as of 2020. In parallel, ecoDESIGN will monitor the socio economic development of the European aviation industry in Clean Sky 2 by means of socio-economic derivative.",,
17,285842,HIPE AE 440,Diesel Powerpack for a Light Helicopter Demonstrator,"Within the last years the pressure of the European society to improve the environmental performance of aviation has grown significantly. Different approaches have been made to address this problem in a proper manner and especially within the Clean Sky program different projects are planned, which yield in a significant reduction of fuel consumption and CO2 emissions.Up to now for aviation engines the main technology is based on turbine engine technology. Such turbine engines are light and have a very high power to weight ratio. Unfortunately these engines have high fuel consumption and consequently tremendous high CO2 emissions. Therefore this call asks for a possbile solution using a reciprocating Diesel engine. Whereas these engines are already successful in market in the general aviation fixed wing application this technology has not found the way into the helicopters up to now. The reason can be found by two major items, first the already known reciprocating Diesel aviation engines have not more than 200 kW and second these engines have a power to weight ratio which is far below the existing heilcopter engines.Both problems are adressed in the presented proposal. The proposal presents an engine which fits perfectly into the power to weight requirement of a helicopter. Within this engine the advantages of high end race technology is combined with the safety needs of aviation engines. Beyond this it is shown that the presented engine technology has the necessary growth protential for future applications.All together it is shown that the proposed solution presents the achievable optimum under consideration of all constraints required within the Call for Proposal. Furthermore it is obvious that with the presented solution a big step will be done in direction to green technology in the aviation world and moreover the European position in manufacturing and rulemaking would be strengthened in a significant way as well as demonstrating it in flight to the public.",,
18,821233,RIB-AM,Research of Innovative and Breakthrough Additive Manufactured leading-edge concept,"RIB-AM project will contribute to the CleanSky 2 objectives with the development of novel manufacturing technologies applied large size components belonging to the primary structure of aircrafts. Within this set of manufacturing techniques stand out the Automatic Fibre Placement (AFP) using thermoplastic resins, the innovative additive manufacturing process with short-fibre reinforce thermoplastic materials or the new methodology for components joining based on inductive welding technology.",,
19,314061,STARGATE,Sensors Towards Advanced Monitoring and Control of Gas Turbine Engines,"The headline objective of this project is to develop a suite of advanced sensors, instrumentation and related systems in order to contribute to the development of the next generation of green and efficient gas turbine engines (AAT.2012.1.1-3&4).Sensors are a vital enabling technology for gas turbines and are critical to validation of design tools, new products, engine control, and health monitoring. The limitations of sensors in terms of survival temperature, accuracy, stability, and degradation limit where measurements are made during development and the operating ceiling of the gas turbine. Engines are run with safety margin in order to safeguard components against mechanical failure. Consequently, they are not run at their most optimal, which impacts overall efficiency. For example, a 10C uncertainty on turbine entry temperature changes the specific fuel consumption by 0.2%. Also a 0.2mm change in turbine tip clearance changes the specific fuel consumption by 0.4%. It is believed that with better sensing techniques, in excess of 500,000 tonnes of kerosene could be saved per annum, which equates to a CO2 saving of over 1.5 millions tonnes. Despite some successes in recent research, it has become clear that the capability gaps are not closing quickly enough. Further research in to sensors and instrumentation is, therefore, absolutely essential if the capability gaps are to be filled at an adequate rate.The STARGATE project intends to target these critical gaps and create the biggest impact possible within the constraints of the Call budget. The project will develop a range of advanced new sensors for high temperature gas path, surface, and structural measurements. The project also contains some detailed studies on wireless sensing. The sensors will be validated using both laboratory and rig trials to define their performance against specific targets. The project is being lead by Meggitt UK and includes 5 of the EU’s foremost gas turbine manufacturers.",,
20,620120,AFOOT,Advanced FOrging of an Optimized Turbine casing,"The objective of this project is to determine and validate a robust set of forging and heat treatment parameters leading to the forging of a fan case for a geared turbofan demonstrator as part of the Sustainable and Green Engine (SAGE) platform by making the microstructure of ATI 718Plus stable against overaging effects occurring during long-term exposure at 700°C.This project represents the collaborative effort of an experienced company specialised in forging and ring-rolling of superalloys and a technological research centre with great competence in thermo-mechanical processes analysis and modelling.Development of an advanced predictive simulation modelling tool is a pre-requisite for the success of the project along with a thorough laboratory measurements campaign that will be performed to test the original material as well as the material overaged in conditions similar to those it should work at.The final outcome of the project will be the production of three fan cases whose design will be agreed upon with the topic manager, one of these cases will be cut up and properly examined in the lab while the other two will be delivered to the Topic Manager.",,
21,101255065,LEIA,Large scalE Integration demonstrator of hybrid electrical Architecture,"LEIA (Large scalE Integration demonstrator of hybrid electrical Architecture) is fundamental in the context of Clean Aviation's strategic goals to reduce greenhouse-gases emissions and advance green aviation technologies. This challenge is often associated with propulsion technologies or disruptive wing configurations, but it is not limited to that, and both pathways are enabled by novel system technologies and architectures.LEIA is essential for preparing the future short-medium-range aircraft more/hybrid electric non-propulsive energy architecture. It aims at designing and integrating non-propulsive electrical systems to enable an increased engine off-take efficiency together with a more flexible energy management, while minimizing the overall system sizing.To enable the integration of a high-performance, certifiable, and scalable non-propulsive energy system contributing to Clean Aviation’s sustainability and performance targets, the project will:- select and validate a future-focused more electric/hybrid electric non-propulsive energy architecture,- define comprehensive functional and interface specifications,- develop advanced energy and thermal management strategies,- establish a clear integration strategy,- demonstrate TRL5 for an integrated energy provision system level,- provide a roadmap towards TRL6 for the end-to-end electrical system architecture,- prepare a certification and industrialization roadmap,- advance certification readiness of critical technologies by achieving CRL4 and identifying a pathway to CRL6.A key project objective is to demonstrate, by a successful TRL5 review in 2027, non-propulsive energy architecture for a short-medium-range more/hybrid electric aircraft concept, including the system's integration into the broader aircraft architecture. LEIA is therefore a core enabler to deliver at TRL5 and CRL4 a consistent package of key technologies for a next generation more environmentally-friendly aircraft.",,
22,821079,E-BRAKE,"Design, Manufacturing and Qualification up to TRL5 of Innovative Electro-Mechanical BRAKE actuation System for SAT Application","The E-BRAKE project is aimed at developing, manufacturing, testing, and qualifying an Innovative Electro-Mechanical Braking actuation System for SAT Application, performing at the same time studies on electromechanical actuator, command logic including diagnostic and prognostic capabilities and system integration and validation of novel electro-mechanical brake actuation system into a relevant landing gear system.The first step will consist in a specification review, a preliminary system design activity and a technological innovation assessment, with the final aim to integrate and harmonize the concept to be developed and the effective proposed innovations. Health monitoring and prognostic algorithm as well as innovative antiskid algorithms modelling, simulation and performance analysis will be carried out in order to develop a new worldwide state of art electro-mechanical brake actuation system for small aircraft application. The electro actuated brake system (ebrake) will be a further development of already flying solutions, designed, produced, certified by an E-BRAKE partner according to Airworthiness Requirements.System design outcomes will be used to drive the following detail design phase. The E-BRAKE consortium will proceed with all the design and analysis activities, minimizing all the system weight, improving safety, power consumption, affordability and using technological and manufacturing efficiency criteria to fully compliant with the approval plan.An effective configuration & weight management will assure the fulfilment of all functional and mass budget requirements. Software validation, production, assembly and integration drawings, as well as bills of materials and suitable interface control documents will be integral part of the output provided by the design work package.The E-BRAKE project will deliver the prototype(s) fully compliant with the topic requirements.The novel equipment (ebrake) will also be integrated in a reference SAT L/G.",,
23,101102020,AMBER,InnovAtive DeMonstrator for hyBrid-Electric Regional Application,"Climate change poses an unprecedented challenge on today’s society. Numerous studies highlight the urgent need to decarbonize global industry and to drastically reduce pollutant emissions across all sectors, including aviation. Although, the global environmental impact of aviation is mostly driven by small-medium range market aircraft due to the large volume of operations, the development of disruptive technologies for the power demands such applications require cannot be put in place until progressive maturation of novel enabling technologies has been achieved at lower scale or sizes. The transformation of regional aviation, i.e., aircraft serving distances of 500 to 1000 km at a capacity of up to 100 seats, will thus lead the way towards sustainability and will be of particular importance. Both battery and liquid hydrogen powered fuel cell technology will not be sufficiently matured to allow the realization of a fully electric regional aircraft within the next decade. Instead, an intermediate step will be required to significantly reduce GHG emissions already by 2035. The development of a hybrid-electric propulsion system for regional aircraft with at least 50% hybridization represents this very challenging, yet achievable intermediate step and can allow for a mission fuel burn reduction by at least 30% compared to 2020 state-of-the-art regional aircraft. A thermal engine that allows for usage of 100% sustainable aviation fuel, will allow to reduce lifecycle GHG emissions by 90% and thus close to zero. The proposed project AMBER (innovAtive deMonstrator for hyBrid-Electric Regional application) addresses this aspect and pursues the maturation of hybrid-electric key components and the validation of a product-representative parallel hybrid-electric propulsion system architecture, fuel cell based, for next-generation regional aircraft with EIS by 2035 to meet the ambitious environmental goals set out in SRIA and the Clean Aviation topic call.",,
24,307869,ELWIPS,Electro-thermal Laminar Wing Ice Protection System Demonstrator,"This proposal regards designing, building and testing a functional prototype of part of a laminar wing fitted with electro-thermal ice protection (ETIPS) for a business jet.  The aim is to show innovation in the use of composite materials for the fixed leading edge, (e.g. Fibre/Metal Laminates), which are thermally efficient, can be manufactured to tight laminar wing tolerances and comparable to aluminium for weight & cost.  Furthermore, the structure will be evaluated for its basic damage resistance properties and ease of repair.The ETIPS aspects will be innovative through a focus on minimising power consumption, using sensors to allow power demand management and thereby achieve a Smart ETIPS.  Different types of heater elements will be tested in a range of configurations to optimise ice protection coverage and power consumption.  Trials will also be conducted to minimise the weight of the ETIPS heater elements, controllers and wiring.Several structural and layout trade-off studies will be conducted and the final solution tested in an icing wind tunnel.",,
25,285050,WEZARD,Weather hazards for aeronautics,"On April 14th, 2010, the eruption of the Eyjafjallajökull volcano and the accompanying cloud of volcanic ash forced most countries in northern Europe to shut their airspace, grounding more than 100,000 flights, affected an estimated 10 million travellers and had a financial impact of 5 bn US$ over a seven day period.  This event revealed to what extent our society and economy rely on the availability of a safe and efficient air transport system and how fragile it remains when faced with the complexity of atmospheric conditions. WEZARD aims to support and contribute to the preparation of future community research in air transport system robustness when faced with weather hazards. It will focus on hazards which can be spread over large areas such as volcanic ash clouds or severe atmospheric conditions including icing. The WEZARD consortium will 1/ take stock of the current knowledge of weather hazards affecting airframes, engines and systems and identify the needed technology and capability developments pathways, 2/ compile knowledge on the collection, processing and communication of meteorological data and investigate what research is needed on observation, forecasting tools, data assimilation and broadcasting, 3/ investigate the existing and needed safety standards and procedures, 4/ model  the capacity of the scientific community to better understand, observe and simulate hazardous particles. These activities will result in a R&D roadmap identifying research gaps and priorities and providing recommendations to the main stakeholders of the aeronautical community. The WEZARD consortium will consist of 3 airframers, 2 engine manufacturers, 1 system supplier, 1 network of meteorological offices, 4 research centres,  1 provider of test facilities and 1 civil aviation authority over 2 years.  An Advisory Board gathering a panel of international experts in relevant domains will be set up to provide advice on the vision, priorities and directions proposed by the project.",,
